combination,temperature,richness,replicate,predicted_species,microcosmID,day,N,mean_major,mean_volume,rel_richness
Colp,15,1,1,Colp,00014,35,12.6875,71.7658757090628,64780.2640866664,0
Colp,15,1,1,Colp,00014,36,16,71.2154908605522,60857.6373228163,0
Colp,15,1,1,Colp,00014,37,15.6,70.4903982255921,58153.8075402534,0
Colp,15,1,1,Colp,00014,38,13.8,69.6483493625923,55722.624257439,0
Colp,15,1,1,Colp,00014,39,11.2,68.7394683692842,53447.2389744808,0
Colp,15,1,1,Colp,00014,40,8.4,67.813879343399,51210.8031914868,0
Colp,15,1,1,Colp,00014,41,6,66.921706382668,48896.4684085646,0
Colp,15,1,1,Colp,00014,42,4,66.0629494870911,46504.2346257142,0
Colp,15,1,2,Colp,00035,1,28,108.488665340699,150986.920777705,0
Colp,15,1,2,Colp,00035,2,27.3703703703704,110.33278482744,169395.890898935,0
Colp,15,1,2,Colp,00035,3,26.7407407407407,112.17690431418,187804.861020165,0
Colp,15,1,2,Colp,00035,4,26,112.443684337412,195204.730171377,0
Colp,15,1,2,Colp,00035,5,25.0416666666667,109.619111377072,180715.457249265,0
Colp,15,1,2,Colp,00035,6,24,105.6163268875,158628.663947049,0
Colp,15,1,2,Colp,00035,7,23.2083333333333,101.514984881199,141025.984774544,0
Colp,15,1,2,Colp,00035,8,22,98.8273139847745,127327.04050199,0
Colp,15,1,2,Colp,00035,9,18.7962962962963,98.4414945288266,121345.643445596,0
Colp,15,1,2,Colp,00035,10,15.037037037037,98.3100855101361,119690.152459259,0
Colp,15,1,2,Colp,00035,11,14,98.2419098472158,119307.759964908,0
Colp,15,1,2,Colp,00035,12,18.8541666666667,98.0614594638584,120862.915614996,0
Colp,15,1,2,Colp,00035,13,25,97.3838540657963,121600.163892103,0
Colp,15,1,2,Colp,00035,14,28.9791666666667,95.8373554492748,115508.568040871,0
Colp,15,1,2,Colp,00035,15,30,93.8635310141212,109710.71788353,0
Colp,15,1,2,Colp,00035,16,23.9259259259259,91.3819924242219,111044.428743653,0
Colp,15,1,2,Colp,00035,17,14.9074074074074,88.7743972878557,115133.442184927,0
Colp,15,1,2,Colp,00035,18,11,87.448537518407,116674.272101018,0
Colp,15,1,2,Colp,00035,19,19.4583333333333,88.9644193912489,109706.727412926,0
Colp,15,1,2,Colp,00035,20,29,90.8622873894358,106027.540428246,0
Colp,15,1,2,Colp,00035,21,28.5,90.7122621543263,122036.183054182,0
Colp,15,1,2,Colp,00035,22,25,89.6415140617198,136976.771533872,0
Colp,15,1,2,Colp,00035,23,21.5555555555556,87.9411931275704,132832.024396044,0
Colp,15,1,2,Colp,00035,24,17.7777777777778,85.7856622498825,120330.544600156,0
Colp,15,1,2,Colp,00035,25,16,83.7134645782993,108190.024269772,0
Colp,15,1,2,Colp,00035,26,16,81.7230800486109,98651.4204754272,0
Colp,15,1,2,Colp,00035,27,16,80.2614308259802,91164.6162200557,0
Colp,15,1,2,Colp,00035,28,18.7916666666667,80.222076632124,88801.3103638501,0
Colp,15,1,2,Colp,00035,29,22,80.5392802934935,88387.8476891064,0
Colp,15,1,2,Colp,00035,30,21.2592592592593,80.4394190889941,87779.6567747375,0
Colp,15,1,2,Colp,00035,31,19.0740740740741,80.1933211548234,87396.4835158568,0
Colp,15,1,2,Colp,00035,32,18,79.6399239277209,86247.8537920758,0
Colp,15,1,2,Colp,00035,33,20.5208333333333,78.1899753773373,82593.4186222319,0
Colp,15,1,2,Colp,00035,34,22,77.1965572596152,80228.4524046533,0
Colp,15,1,2,Colp,00035,35,16.725,78.7150329802751,84625.5879857593,0
Colp,15,1,2,Colp,00035,36,11,80.2492298103924,89117.5414247557,0
Colp,15,1,2,Colp,00035,37,9.376,79.9496741690847,88751.10376971,0
Colp,15,1,2,Colp,00035,38,9.348,78.8982806797254,86403.6734584481,0
Colp,15,1,2,Colp,00035,39,10.232,77.4172655629083,82924.2473436339,0
Colp,15,1,2,Colp,00035,40,11.344,75.8288450392265,79161.8222779318,0
Colp,15,1,2,Colp,00035,41,12,74.4552353292739,75965.3951140057,0
Colp,15,1,2,Colp,00035,42,12.2,73.2964364330501,73334.9658518557,0
Colp,15,1,3,Colp,00002,1,23,97.2418697230386,135234.190949985,0
Colp,15,1,3,Colp,00002,2,27.3125,96.4510997185887,139555.231218646,0
Colp,15,1,3,Colp,00002,3,31,94.5908814827801,138839.769574311,0
Colp,15,1,3,Colp,00002,4,33.375,88.5361979120853,119342.552670423,0
Colp,15,1,3,Colp,00002,5,34,83.3843073916526,102153.332894663,0
Colp,15,1,3,Colp,00002,6,31.1666666666667,84.1247268736622,109361.867306845,0
Colp,15,1,3,Colp,00002,7,26.8333333333333,87.4948013978329,126363.067107192,0
Colp,15,1,3,Colp,00002,8,25,90.2413416344106,135257.66636868,0
Colp,15,1,3,Colp,00002,9,30.5625,91.5615996181085,123800.24890923,0
Colp,15,1,3,Colp,00002,10,34,91.0714920706916,108687.618784874,0
Colp,15,1,3,Colp,00002,11,22.8625,86.0220941788424,103247.655245638,0
Colp,15,1,3,Colp,00002,12,11,81.1599239836114,101515.473114977,0
Colp,15,1,3,Colp,00002,13,8.776,80.3092417246032,101038.21463605,0
Colp,15,1,3,Colp,00002,14,10.588,81.1157532308659,101616.900642207,0
Colp,15,1,3,Colp,00002,15,14.312,82.929598868939,103207.266809025,0
Colp,15,1,3,Colp,00002,16,17.824,85.1009190053622,105765.04881208,0
Colp,15,1,3,Colp,00002,17,19,86.9798540066752,109245.98232695,0
Colp,15,1,3,Colp,00002,18,15.9083333333333,89.1253421962482,115455.520063284,0
Colp,15,1,3,Colp,00002,19,13,90.7163722212003,121864.796626038,0
Colp,15,1,3,Colp,00002,20,14.6851851851852,90.8299997991423,128257.800593649,0
Colp,15,1,3,Colp,00002,21,18.1481481481482,89.9695921233733,133329.354560771,0
Colp,15,1,3,Colp,00002,22,20,87.5548322595879,128899.96807026,0
Colp,15,1,3,Colp,00002,23,17.4791666666667,81.6120408264239,102149.437052939,0
Colp,15,1,3,Colp,00002,24,15,76.1210258237486,76584.4396206111,0
Colp,15,1,3,Colp,00002,25,15,76.1560211402998,80948.1035119335,0
Colp,15,1,3,Colp,00002,26,15,77.6275439599166,90758.822596707,0
Colp,15,1,3,Colp,00002,27,18.6111111111111,78.1687109044642,88908.4028553183,0
Colp,15,1,3,Colp,00002,28,25.3333333333333,78.468527091098,83239.0714675737,0
Colp,15,1,3,Colp,00002,29,29,77.7151643429452,77650.1922436484,0
Colp,15,1,3,Colp,00002,30,24.6458333333333,74.2770891234718,71927.3090423591,0
Colp,15,1,3,Colp,00002,31,20,71.4545043229114,69393.818324525,0
Colp,15,1,3,Colp,00002,32,23.1875,73.6177195058078,77472.0450693586,0
Colp,15,1,3,Colp,00002,33,27,76.4368412629014,86169.8712901279,0
Colp,15,1,3,Colp,00002,34,26.76,76.8894566483047,87732.1832066675,0
Colp,15,1,3,Colp,00002,35,24.98,76.5026678224054,86483.9067723935,0
Colp,15,1,3,Colp,00002,36,22.32,75.6362194471904,83629.5798519402,0
Colp,15,1,3,Colp,00002,37,19.44,74.6498561846464,80373.7403099421,0
Colp,15,1,3,Colp,00002,38,17,73.9033226967604,77920.9260110337,0
Colp,15,1,3,Colp,00002,39,15,73.3966189835321,76271.1369552148,0
Colp,15,1,3,Colp,00002,40,13,72.8899152703039,74621.347899396,0
Colp,15,1,3,Colp,00002,41,11,72.3832115570757,72971.5588435771,0
Colp,15,1,3,Colp,00002,42,9,71.8765078438475,71321.7697877583,0
Colp,17,1,1,Colp,00124,1,26,113.764764056891,179687.108493587,0
Colp,17,1,1,Colp,00124,2,27.7775900022908,112.427883404828,177687.617771229,0
Colp,17,1,1,Colp,00124,3,29,111.090853248625,175531.958142095,0
Colp,17,1,1,Colp,00124,4,29.2277731993937,109.792257635536,174453.062080668,0
Colp,17,1,1,Colp,00124,5,29.4180086271184,108.493462683595,173165.940810206,0
Colp,17,1,1,Colp,00124,6,30,107.07819298654,167425.205733548,0
Colp,17,1,1,Colp,00124,7,34.9177418127671,105.348723289027,151945.894754848,0
Colp,17,1,1,Colp,00124,8,38,103.704237674473,135299.02129067,0
Colp,17,1,1,Colp,00124,9,28.3108287606162,102.918799664924,125835.749649185,0
Colp,17,1,1,Colp,00124,10,19,101.709003496748,120554.019801143,0
Colp,17,1,1,Colp,00124,11,17.5592555784104,98.4905929015018,120324.548591549,0
Colp,17,1,1,Colp,00124,12,17.0029434073528,94.4765845723616,122773.60261432,0
Colp,17,1,1,Colp,00124,13,17,91.5557726251182,122543.244658132,0
Colp,17,1,1,Colp,00124,14,17.9783466197226,90.8102995476168,114664.954668687,0
Colp,17,1,1,Colp,00124,15,20,91.3461303354119,107792.922689038,0
Colp,17,1,1,Colp,00124,16,23.0625,93.0984247787167,111487.31516791,0
Colp,17,1,1,Colp,00124,17,26,94.8277406766969,117169.136672064,0
Colp,17,1,1,Colp,00124,18,27.8333333333333,95.488354280392,119037.441687401,0
Colp,17,1,1,Colp,00124,19,29,95.5031210518224,119534.562744428,0
Colp,17,1,1,Colp,00124,20,29,94.2375346982424,118892.80202181,0
Colp,17,1,1,Colp,00124,21,27.0625,89.9840804833,114766.498837509,0
Colp,17,1,1,Colp,00124,22,24,86.1619452958768,113208.621577106,0
Colp,17,1,1,Colp,00124,23,19.8958333333333,87.3166259336756,123853.292529411,0
Colp,17,1,1,Colp,00124,24,17,89.2190268637264,134905.139201464,0
Colp,17,1,1,Colp,00124,25,18.2407407407407,88.7510844959294,137232.817410964,0
Colp,17,1,1,Colp,00124,26,21.4259259259259,87.4246573560992,135539.946901951,0
Colp,17,1,1,Colp,00124,27,24,86.0782862672024,131264.977171385,0
Colp,17,1,1,Colp,00124,28,25.21875,84.5836833647025,122867.56502323,0
Colp,17,1,1,Colp,00124,29,26,82.8005928565192,110971.852615988,0
Colp,17,1,1,Colp,00124,30,26.28125,81.5496036743027,100263.017478427,0
Colp,17,1,1,Colp,00124,31,26,81.6513047497031,95426.2371393115,0
Colp,17,1,1,Colp,00124,32,24.4074074074074,84.5838538632699,101367.147035293,0
Colp,17,1,1,Colp,00124,33,22.0925925925926,88.9552837951482,113055.162205307,0
Colp,17,1,1,Colp,00124,34,21,91.280995976382,120271.129581549,0
Colp,17,1,1,Colp,00124,35,21.6041666666667,91.25801417088,118919.537906733,0
Colp,17,1,1,Colp,00124,36,25,90.8454349978226,110002.104447074,0
Colp,17,1,1,Colp,00124,37,33.5625,80.7202251001938,90126.2710915399,0
Colp,17,1,1,Colp,00124,38,44,64.270124794491,66038.6317964921,0
Colp,17,1,1,Colp,00124,39,53.5,50.9824696928253,44056.8954712011,0
Colp,17,1,1,Colp,00124,40,63,37.6948145911595,22075.15914591,0
Colp,17,1,1,Colp,00124,41,72.5,24.4071594894937,93.4228206189582,0
Colp,17,1,1,Colp,00124,42,82,11.1195043878279,,0
Colp,17,1,2,Colp,00192,1,31,115.772041718322,198635.548609887,0
Colp,17,1,2,Colp,00192,2,34.5078125,114.51398442709,189739.196516765,0
Colp,17,1,2,Colp,00192,3,38.5208333333333,113.301558246843,180447.496645171,0
Colp,17,1,2,Colp,00192,4,41.5234375,111.997869844627,171946.492330522,0
Colp,17,1,2,Colp,00192,5,42,110.466025887492,165422.226908239,0
Colp,17,1,2,Colp,00192,6,37.6481481481482,108.737717861458,163007.816093527,0
Colp,17,1,2,Colp,00192,7,30.6018518518519,106.766043910175,162701.926764004,0
Colp,17,1,2,Colp,00192,8,26,104.296220687137,159488.928998706,0
Colp,17,1,2,Colp,00192,9,27.2083333333333,101.042307081767,150628.149963332,0
Colp,17,1,2,Colp,00192,10,30,97.1941215896997,138090.74644437,0
Colp,17,1,2,Colp,00192,11,31.7083333333333,91.7937476232,119352.17175552,0
Colp,17,1,2,Colp,00192,12,32,88.3267430292294,104722.218635974,0
Colp,17,1,2,Colp,00192,13,28.1851851851852,88.227963724584,106356.661510502,0
Colp,17,1,2,Colp,00192,14,22.8148148148148,88.1836677969929,115464.324019778,0
Colp,17,1,2,Colp,00192,15,21,88.1950262177185,121928.403636114,0
Colp,17,1,2,Colp,00192,16,28.7291666666667,89.3952136956481,119784.523467933,0
Colp,17,1,2,Colp,00192,17,35,91.1038831405179,117537.696278564,0
Colp,17,1,2,Colp,00192,18,25.6842400357631,92.4280821398558,123257.773052556,0
Colp,17,1,2,Colp,00192,19,16,92.4211856277924,128184.910109147,0
Colp,17,1,2,Colp,00192,20,14.6490573778347,89.0037428888939,124146.40266189,0
Colp,17,1,2,Colp,00192,21,14.1783104065933,84.0767652073811,116544.322060078,0
Colp,17,1,2,Colp,00192,22,14,80.8113248751751,112083.572464021,0
Colp,17,1,2,Colp,00192,23,13.1929970450764,81.2150492932394,112163.446717335,0
Colp,17,1,2,Colp,00192,24,13,83.0406418026047,113870.186420672,0
Colp,17,1,2,Colp,00192,25,15.75,85.183867325676,129978.533739672,0
Colp,17,1,2,Colp,00192,26,18,86.6756793646018,147575.598093693,0
Colp,17,1,2,Colp,00192,27,18,86.719660949501,148790.135614712,0
Colp,17,1,2,Colp,00192,28,18,86.5112979420368,142486.901864955,0
Colp,17,1,2,Colp,00192,29,18,86.0299136611632,130473.774166239,0
Colp,17,1,2,Colp,00192,30,19.9375,80.5682395679088,106578.9657189,0
Colp,17,1,2,Colp,00192,31,23,74.1969974014706,84813.1945208564,0
Colp,17,1,2,Colp,00192,32,26.1875,74.4432633102105,85334.2991649131,0
Colp,17,1,2,Colp,00192,33,27,76.254220497318,90444.2765635899,0
Colp,17,1,2,Colp,00192,34,20.5555555555556,76.9261959376678,86670.1939619149,0
Colp,17,1,2,Colp,00192,35,11.1111111111111,77.3694031899176,80465.9980850472,0
Colp,17,1,2,Colp,00192,36,6,77.2811414481898,77019.880150956,0
Colp,17,1,2,Colp,00192,37,10.9375,75.682661880799,80160.4775556563,0
Colp,17,1,2,Colp,00192,38,18,74.7769414515717,84618.7501991927,0
Colp,17,1,2,Colp,00192,39,20.0625,77.3446045460259,85790.0939594492,0
Colp,17,1,2,Colp,00192,40,21,81.0036285241268,86210.5545014594,0
Colp,17,1,2,Colp,00192,41,22.5,84.1169720604043,87006.4566525927,0
Colp,17,1,2,Colp,00192,42,24,87.2303155966818,87802.358803726,0
Colp,17,1,3,Colp,00190,1,7,77.9300301906493,100149.511987494,0
Colp,17,1,3,Colp,00190,2,14.4930555555556,82.9107182467982,111360.192173675,0
Colp,17,1,3,Colp,00190,3,22.7777777777778,88.3341090939415,124109.754600994,0
Colp,17,1,3,Colp,00190,4,31.0625,93.7574999410848,136859.317028312,0
Colp,17,1,3,Colp,00190,5,38.5555555555556,98.7381879972337,148069.997214493,0
Colp,17,1,3,Colp,00190,6,44.4652777777778,102.833470471394,156202.912918397,0
Colp,17,1,3,Colp,00190,7,48,105.600644572571,159719.181898887,0
Colp,17,1,3,Colp,00190,8,47.6481481481482,106.632492066207,159929.585086912,0
Colp,17,1,3,Colp,00190,9,44.1296296296296,105.893528395865,159267.291039123,0
Colp,17,1,3,Colp,00190,10,40,103.498651287734,157876.998952941,0
Colp,17,1,3,Colp,00190,11,34.9791666666667,97.70616892755,137714.487930408,0
Colp,17,1,3,Colp,00190,12,31,92.1618418044379,113375.793515325,0
Colp,17,1,3,Colp,00190,13,32.0208333333333,92.1510786312909,113391.161015078,0
Colp,17,1,3,Colp,00190,14,34,92.7457548444562,117643.299654256,0
Colp,17,1,3,Colp,00190,15,34.1851851851852,89.9061272434278,113490.905540515,0
Colp,17,1,3,Colp,00190,16,33.6481481481482,85.8869650702634,106859.421016582,0
Colp,17,1,3,Colp,00190,17,32,83.0058132552601,101732.74517093,0
Colp,17,1,3,Colp,00190,18,28.2291666666667,82.7472692892469,100051.358458648,0
Colp,17,1,3,Colp,00190,19,24,83.3405810114292,100154.560918392,0
Colp,17,1,3,Colp,00190,20,20.7083333333333,83.8074746675173,102825.912079964,0
Colp,17,1,3,Colp,00190,21,19,83.6621321241957,103824.23797239,0
Colp,17,1,3,Colp,00190,22,20.0185185185185,81.5105792447561,97093.5233486013,0
Colp,17,1,3,Colp,00190,23,22.6481481481482,78.5449142066707,87257.4648148619,0
Colp,17,1,3,Colp,00190,24,26,76.8174493655327,81380.6583638296,0
Colp,17,1,3,Colp,00190,25,31.0416666666667,77.9222754332126,83459.623853742,0
Colp,17,1,3,Colp,00190,26,35,79.683528708109,90173.7844543649,0
Colp,17,1,3,Colp,00190,27,33.4375,80.3782682143398,102669.128471371,0
Colp,17,1,3,Colp,00190,28,31,80.3718245267319,112292.958934342,0
Colp,17,1,3,Colp,00190,29,30.92,79.44291034343,110621.732283581,0
Colp,17,1,3,Colp,00190,30,31.56,77.9272704728659,103479.323106415,0
Colp,17,1,3,Colp,00190,31,32.74,76.1902411419194,93627.7816691938,0
Colp,17,1,3,Colp,00190,32,34.28,74.5971585774702,83829.1582382673,0
Colp,17,1,3,Colp,00190,33,36,73.5133590063979,76845.5030799855,0
Colp,17,1,3,Colp,00190,34,39.4583333333333,73.1678856335856,73586.0646166441,0
Colp,17,1,3,Colp,00190,35,41,73.4272278861691,72402.535022357,0
Colp,17,1,3,Colp,00190,36,35.7962962962963,74.5179540473755,73067.4880045686,0
Colp,17,1,3,Colp,00190,37,27.537037037037,75.9722251944589,74877.6504315003,0
Colp,17,1,3,Colp,00190,38,21,76.5699360787187,76044.9679383955,0
Colp,17,1,3,Colp,00190,39,18.3541666666667,75.0735949311753,75086.7427358052,0
Colp,17,1,3,Colp,00190,40,18,73.5257132968103,74616.1870288691,0
Colp,17,1,3,Colp,00190,41,20,74.0716808918923,77296.1077239916,0
Colp,17,1,3,Colp,00190,42,23,75.2085281972703,80945.8316047958,0
Colp,19,1,2,Colp,00258,1,37,97.7954539776458,139651.190558876,0
Colp,19,1,2,Colp,00258,2,31,112.433461382822,197045.221127099,0
Colp,19,1,2,Colp,00258,3,25.25,110.75069142053,192099.356506267,0
Colp,19,1,2,Colp,00258,4,20,105.42679516634,172854.0961459,0
Colp,19,1,2,Colp,00258,5,14.6041666666667,105.587995544749,173086.371660027,0
Colp,19,1,2,Colp,00258,6,12,105.573799641502,173246.991366063,0
Colp,19,1,2,Colp,00258,7,15.6481481481482,101.709606760485,161833.699030259,0
Colp,19,1,2,Colp,00258,8,22.5185185185185,96.4192737219873,146227.528916773,0
Colp,19,1,2,Colp,00258,9,29,92.9590449369126,136100.434197169,0
Colp,19,1,2,Colp,00258,10,34.7708333333333,93.7471797056876,139430.816079572,0
Colp,19,1,2,Colp,00258,11,38,95.5298339877262,144210.515114533,0
Colp,19,1,2,Colp,00258,12,38,95.439891884675,137390.215628032,0
Colp,19,1,2,Colp,00258,13,38,95.0761536241082,131040.680889079,0
Colp,19,1,2,Colp,00258,14,31.2777777777778,95.3677553503071,135861.905845322,0
Colp,19,1,2,Colp,00258,15,18.5555555555556,95.7983737688904,144857.469655431,0
Colp,19,1,2,Colp,00258,16,11,95.6467833101422,148854.979235692,0
Colp,19,1,2,Colp,00258,17,16.5625,94.110973002923,140797.271193885,0
Colp,19,1,2,Colp,00258,18,24,92.5339498368421,130742.852754348,0
Colp,19,1,2,Colp,00258,19,23.4791666666667,92.4852281107717,127584.510311389,0
Colp,19,1,2,Colp,00258,20,21,92.5846667566386,126645.368470254,0
Colp,19,1,2,Colp,00258,21,19.5925925925926,92.0331300851007,125984.167401606,0
Colp,19,1,2,Colp,00258,22,18.2407407407407,91.1518821772962,125324.501453647,0
Colp,19,1,2,Colp,00258,23,17,89.6933410099341,123310.27205022,0
Colp,19,1,2,Colp,00258,24,14.7708333333333,86.6757590767754,114953.714979941,0
Colp,19,1,2,Colp,00258,25,15,84.3020309547849,107697.095369319,0
Colp,19,1,2,Colp,00258,26,23.7916666666667,85.6814000546994,111517.603963241,0
Colp,19,1,2,Colp,00258,27,32,87.5253109463273,119535.59576796,0
Colp,19,1,2,Colp,00258,28,30.8703703703704,87.3999321016088,131540.192718128,0
Colp,19,1,2,Colp,00258,29,25.7962962962963,86.4581773047263,144566.1544361,0
Colp,19,1,2,Colp,00258,30,22,85.0128473641653,146485.629276165,0
Colp,19,1,2,Colp,00258,31,22.3958333333333,82.6074730040257,121495.97637092,0
Colp,19,1,2,Colp,00258,32,23,80.3164207806527,97813.3970141933,0
Colp,19,1,2,Colp,00258,33,20.6875,79.668743516546,94985.9250693392,0
Colp,19,1,2,Colp,00258,34,18,79.5560221533442,94419.4001438912,0
Colp,19,1,2,Colp,00258,35,16.2222222222222,79.3406917289667,93452.7721048745,0
Colp,19,1,2,Colp,00258,36,14.9444444444444,79.1826311797617,92125.1851916302,0
Colp,19,1,2,Colp,00258,37,15,78.9308530889353,91174.0511750342,0
Colp,19,1,2,Colp,00258,38,18.25,78.6990745707471,90790.3057681311,0
Colp,19,1,2,Colp,00258,39,21,77.9517684629339,89230.7616833183,0
Colp,19,1,2,Colp,00258,40,21,75.9038881330027,80698.5731149636,0
Colp,19,1,2,Colp,00258,41,21,73.4107683696627,68390.7261680165,0
Colp,19,1,2,Colp,00258,42,21,71.1402683230271,57970.7084103656,0
Colp,19,1,3,Colp,00246,1,18,112.257741091361,188555.435775735,0
Colp,19,1,3,Colp,00246,2,30.4375,110.271338570584,171697.576212737,0
Colp,19,1,3,Colp,00246,3,38,108.103160306899,158765.184212499,0
Colp,19,1,3,Colp,00246,4,29.5833333333333,105.558943428343,159296.758648162,0
Colp,19,1,3,Colp,00246,5,19,102.494373579172,160378.673151343,0
Colp,19,1,3,Colp,00246,6,17.5740740740741,98.2932574527838,148074.706784775,0
Colp,19,1,3,Colp,00246,7,19.7592592592593,93.6407050227865,131270.57042455,0
Colp,19,1,3,Colp,00246,8,23,90.0182667551022,122297.376616694,0
Colp,19,1,3,Colp,00246,9,27.8541666666667,88.3615039796674,121828.03568907,0
Colp,19,1,3,Colp,00246,10,32,87.8815471796006,121584.663111132,0
Colp,19,1,3,Colp,00246,11,31.3958333333333,88.363812929374,115519.835585315,0
Colp,19,1,3,Colp,00246,12,29,88.9785904331652,108648.324793759,0
Colp,19,1,3,Colp,00246,13,25.6851851851852,88.9212997043456,110297.856760573,0
Colp,19,1,3,Colp,00246,14,21.9814814814815,88.5032606460803,114853.647156444,0
Colp,19,1,3,Colp,00246,15,21,87.3705362333138,115400.143179217,0
Colp,19,1,3,Colp,00246,16,26.8541666666667,83.859454518251,106132.607306071,0
Colp,19,1,3,Colp,00246,17,32,80.5645876419179,95845.5891975965,0
Colp,19,1,3,Colp,00246,18,32,81.320199136051,93224.8142168107,0
Colp,19,1,3,Colp,00246,19,32,82.6680705496758,92190.94357193,0
Colp,19,1,3,Colp,00246,20,28.6388888888889,81.8260883545815,87053.3805872771,0
Colp,19,1,3,Colp,00246,21,22.1666666666667,80.2888808022838,81381.7053245052,0
Colp,19,1,3,Colp,00246,22,18,79.5662666964835,81901.9646303591,0
Colp,19,1,3,Colp,00246,23,18.765625,80.5914356155187,93897.4880746233,0
Colp,19,1,3,Colp,00246,24,22,82.5820435024825,113080.499628878,0
Colp,19,1,3,Colp,00246,25,25.484375,84.474608708208,131820.38774256,0
Colp,19,1,3,Colp,00246,26,27,85.205649583528,142486.540865107,0
Colp,19,1,3,Colp,00246,27,24.2962962962963,84.322530008687,141925.963351319,0
Colp,19,1,3,Colp,00246,28,19.9537037037037,82.3633698373798,133991.788760712,0
Colp,19,1,3,Colp,00246,29,19,79.7508213806143,121562.599349803,0
Colp,19,1,3,Colp,00246,30,27.2916666666667,75.4781979289498,100187.482989268,0
Colp,19,1,3,Colp,00246,31,34,72.1939395325895,80643.2160844554,0
Colp,19,1,3,Colp,00246,32,25.8541666666667,74.0067086176374,78706.8632114992,0
Colp,19,1,3,Colp,00246,33,16,76.464307839748,81340.7173866995,0
Colp,19,1,3,Colp,00246,34,14.3703703703704,75.9441585799453,79858.5653733615,0
Colp,19,1,3,Colp,00246,35,15.962962962963,74.3125744770292,77533.8753296335,0
Colp,19,1,3,Colp,00246,36,18,72.8669467124646,74804.1270665562,0
Colp,19,1,3,Colp,00246,37,20.7708333333333,72.3231502616327,71513.9779416967,0
Colp,19,1,3,Colp,00246,38,22,71.5844439910512,68016.0508703644,0
Colp,19,1,3,Colp,00246,39,17.4375,69.7728728730482,64958.0677854059,0
Colp,19,1,3,Colp,00246,40,11,67.6269246815319,61996.1004184867,0
Colp,19,1,3,Colp,00246,41,5.5,65.6481650267723,58986.1251925479,0
Colp,19,1,3,Colp,00246,42,,63.6694053720126,55976.149966609,0
Colp,21,1,1,Colp,00395,1,41,106.623415381217,184051.43655015,0
Colp,21,1,1,Colp,00395,2,39.5,108.045846680237,170846.685161476,0
Colp,21,1,1,Colp,00395,3,37,108.199097763508,157311.655988289,0
Colp,21,1,1,Colp,00395,4,30.3125,104.482923661365,141719.602763929,0
Colp,21,1,1,Colp,00395,5,25,99.6213384198193,127929.65315032,0
Colp,21,1,1,Colp,00395,6,28.375,94.9967994800087,119723.607589035,0
